recipe,xpname,transfection_date,calibration,calibration_diagnostics,n_repeats,best_repeat,network_loaded,architecture,sequestron_type,colors
(3xCsy4)+(Csy4R8x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(3xCsy4)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R1w_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R1x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R2x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R3x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R4x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R5x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R6x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R8x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(4xCsy4)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
